id;name;geoid;geoname;value;datetime
805;Precio medio cuarto horario componente mercado diario;;;100.78;2026-01-01T18:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;102.2;2026-01-01T18:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;103.74;2026-01-01T18:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;103.98;2026-01-01T19:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;104.5;2026-01-01T19:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;105;2026-01-01T19:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;105.36;2026-01-01T19:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;106.32;2026-01-01T20:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;106.92;2026-01-01T20:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;106.94;2026-01-01T20:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;106.94;2026-01-01T20:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;106.94;2026-01-01T21:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;106.94;2026-01-01T21:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;106.5;2026-01-01T21:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;105.01;2026-01-01T21:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;105.5;2026-01-01T22:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;104.94;2026-01-01T22:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;103.98;2026-01-01T22:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;102.2;2026-01-01T22:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;102.2;2026-01-01T23:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;100;2026-01-01T23:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;95;2026-01-01T23:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;89.52;2026-01-01T23:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;87.75;2026-01-02T00:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;83.96;2026-01-02T00:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;80;2026-01-02T00:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;70;2026-01-02T00:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;68.87;2026-01-02T01:00:00+01:00
